Country,Date,Active cases,Confirmed cases,Recovered cases,Deaths
Tajikistan,2020-02-06,0,0,0,0
Tajikistan,2020-02-07,0,0,0,0
Tajikistan,2020-02-08,0,0,0,0
Tajikistan,2020-02-09,0,0,0,0
Tajikistan,2020-02-10,0,0,0,0
Tajikistan,2020-02-11,0,0,0,0
Tajikistan,2020-02-12,0,0,0,0
Tajikistan,2020-02-13,0,0,0,0
Tajikistan,2020-02-14,0,0,0,0
Tajikistan,2020-02-15,0,0,0,0
Tajikistan,2020-02-16,0,0,0,0
Tajikistan,2020-02-17,0,0,0,0
Tajikistan,2020-02-18,0,0,0,0
Tajikistan,2020-02-19,0,0,0,0
Tajikistan,2020-02-20,0,0,0,0
Tajikistan,2020-02-21,0,0,0,0
Tajikistan,2020-02-22,0,0,0,0
Tajikistan,2020-02-23,0,0,0,0
Tajikistan,2020-02-24,0,0,0,0
Tajikistan,2020-02-25,0,0,0,0
Tajikistan,2020-02-26,0,0,0,0
Tajikistan,2020-02-27,0,0,0,0
Tajikistan,2020-02-28,0,0,0,0
Tajikistan,2020-02-29,0,0,0,0
Tajikistan,2020-03-01,0,0,0,0
Tajikistan,2020-03-02,0,0,0,0
Tajikistan,2020-03-03,0,0,0,0
Tajikistan,2020-03-04,0,0,0,0
Tajikistan,2020-03-05,0,0,0,0
Tajikistan,2020-03-06,0,0,0,0
Tajikistan,2020-03-07,0,0,0,0
Tajikistan,2020-03-08,0,0,0,0
Tajikistan,2020-03-09,0,0,0,0
Tajikistan,2020-03-10,0,0,0,0
Tajikistan,2020-03-11,0,0,0,0
Tajikistan,2020-03-12,0,0,0,0
Tajikistan,2020-03-13,0,0,0,0
Tajikistan,2020-03-14,0,0,0,0
Tajikistan,2020-03-15,0,0,0,0
Tajikistan,2020-03-16,0,0,0,0
Tajikistan,2020-03-17,0,0,0,0
Tajikistan,2020-03-18,0,0,0,0
Tajikistan,2020-03-19,0,0,0,0
Tajikistan,2020-03-20,0,0,0,0
Tajikistan,2020-03-21,0,0,0,0
Tajikistan,2020-03-22,0,0,0,0
Tajikistan,2020-03-23,0,0,0,0
Tajikistan,2020-03-24,0,0,0,0
Tajikistan,2020-03-25,0,0,0,0
Tajikistan,2020-03-26,0,0,0,0
Tajikistan,2020-03-27,0,0,0,0
Tajikistan,2020-03-28,0,0,0,0
Tajikistan,2020-03-29,0,0,0,0
Tajikistan,2020-03-30,0,0,0,0
Tajikistan,2020-03-31,0,0,0,0
Tajikistan,2020-04-01,0,0,0,0
Tajikistan,2020-04-02,0,0,0,0
Tajikistan,2020-04-03,0,0,0,0
Tajikistan,2020-04-04,0,0,0,0
Tajikistan,2020-04-05,0,0,0,0
Tajikistan,2020-04-06,0,0,0,0
Tajikistan,2020-04-07,0,0,0,0
Tajikistan,2020-04-08,0,0,0,0
Tajikistan,2020-04-09,0,0,0,0
Tajikistan,2020-04-10,0,0,0,0
Tajikistan,2020-04-11,0,0,0,0
Tajikistan,2020-04-12,0,0,0,0
Tajikistan,2020-04-13,0,0,0,0
Tajikistan,2020-04-14,0,0,0,0
Tajikistan,2020-04-15,0,0,0,0
Tajikistan,2020-04-16,0,0,0,0
Tajikistan,2020-04-17,0,0,0,0
Tajikistan,2020-04-18,0,0,0,0
Tajikistan,2020-04-19,0,0,0,0
Tajikistan,2020-04-20,0,0,0,0
Tajikistan,2020-04-21,0,0,0,0
Tajikistan,2020-04-22,0,0,0,0
Tajikistan,2020-04-23,0,0,0,0
Tajikistan,2020-04-24,0,0,0,0
Tajikistan,2020-04-25,0,0,0,0
Tajikistan,2020-04-26,0,0,0,0
Tajikistan,2020-04-27,0,0,0,0
Tajikistan,2020-04-28,0,0,0,0
Tajikistan,2020-04-29,0,0,0,0
Tajikistan,2020-04-30,15,15,0,0
Tajikistan,2020-05-01,15,15,0,0
Tajikistan,2020-05-02,74,76,0,2
Tajikistan,2020-05-03,126,128,0,2
Tajikistan,2020-05-04,227,230,0,3
Tajikistan,2020-05-05,288,293,0,5
Tajikistan,2020-05-06,371,379,0,8
Tajikistan,2020-05-07,449,461,0,12
Tajikistan,2020-05-08,510,522,0,12
Tajikistan,2020-05-09,592,612,0,20
Tajikistan,2020-05-10,592,612,0,20
Tajikistan,2020-05-11,640,661,0,21
Tajikistan,2020-05-12,708,729,0,21
Tajikistan,2020-05-13,778,801,0,23
Tajikistan,2020-05-14,878,907,0,29
Tajikistan,2020-05-15,1085,1118,0,33
Tajikistan,2020-05-16,1286,1322,0,36
Tajikistan,2020-05-17,1485,1524,0,39
Tajikistan,2020-05-18,1688,1729,0,41
Tajikistan,2020-05-19,1254,1936,641,41
Tajikistan,2020-05-20,1629,2140,470,41
Tajikistan,2020-05-21,1836,2350,470,44
Tajikistan,2020-05-22,1418,2551,1089,44
Tajikistan,2020-05-23,1471,2738,1223,44
Tajikistan,2020-05-24,1582,2929,1301,46
Tajikistan,2020-05-25,1659,3100,1395,46
Tajikistan,2020-05-26,1802,3266,1417,47
Tajikistan,2020-05-27,1802,3424,1575,47
Tajikistan,2020-05-28,1842,3563,1674,47
Tajikistan,2020-05-29,1870,3686,1769,47
Tajikistan,2020-05-30,1895,3807,1865,47
Tajikistan,2020-05-31,1879,3930,2004,47
Tajikistan,2020-06-01,1877,4013,2089,47
Tajikistan,2020-06-02,1836,4100,2217,47
Tajikistan,2020-06-03,1796,4191,2347,48
Tajikistan,2020-06-04,1840,4289,2401,48
Tajikistan,2020-06-05,1831,4370,2491,48
Tajikistan,2020-06-06,1822,4453,2583,48
Tajikistan,2020-06-07,1808,4529,2673,48
Tajikistan,2020-06-08,1798,4609,2763,48
Tajikistan,2020-06-09,1827,4690,2815,48
Tajikistan,2020-06-10,1768,4763,2947,48
Tajikistan,2020-06-11,1723,4834,3062,49
Tajikistan,2020-06-12,1695,4902,3158,49
Tajikistan,2020-06-13,1633,4971,3288,50
Tajikistan,2020-06-14,1576,5035,3409,50
Tajikistan,2020-06-15,1544,5097,3503,50
Tajikistan,2020-06-16,1486,5160,3624,50
Tajikistan,2020-06-17,1470,5221,3700,51
Tajikistan,2020-06-18,1466,5279,3762,51
Tajikistan,2020-06-19,1457,5338,3830,51
Tajikistan,2020-06-20,1453,5399,3894,52
Tajikistan,2020-06-21,1410,5457,3995,52
Tajikistan,2020-06-22,1422,5513,4039,52
Tajikistan,2020-06-23,1406,5567,4109,52
Tajikistan,2020-06-24,1384,5630,4194,52
Tajikistan,2020-06-25,1372,5691,4267,52
Tajikistan,2020-06-26,1364,5747,4331,52
Tajikistan,2020-06-27,1356,5799,4391,52
Tajikistan,2020-06-28,1349,5849,4448,52
Tajikistan,2020-06-29,1342,5900,4506,52
Tajikistan,2020-06-30,1342,5900,4506,52
Tajikistan,2020-07-01,1326,6005,4627,52
Tajikistan,2020-07-02,1316,6058,4690,52
Tajikistan,2020-07-03,1316,6058,4690,52
Tajikistan,2020-07-04,1298,6159,4809,52
Tajikistan,2020-07-05,1302,6213,4858,53
Tajikistan,2020-07-06,1295,6262,4914,53
Brazil,2020-01-22,0,0,0,0
Brazil,2020-01-23,0,0,0,0
Brazil,2020-01-24,0,0,0,0
Brazil,2020-01-25,0,0,0,0
Brazil,2020-01-26,0,0,0,0
Brazil,2020-01-27,0,0,0,0
Brazil,2020-01-28,0,0,0,0
Brazil,2020-01-29,0,0,0,0
Brazil,2020-01-30,0,0,0,0
Brazil,2020-01-31,0,0,0,0
Brazil,2020-02-01,0,0,0,0
Brazil,2020-02-02,0,0,0,0
Brazil,2020-02-03,0,0,0,0
Brazil,2020-02-04,0,0,0,0
Brazil,2020-02-05,0,0,0,0
Brazil,2020-02-06,0,0,0,0
Brazil,2020-02-07,0,0,0,0
Brazil,2020-02-08,0,0,0,0
Brazil,2020-02-09,0,0,0,0
Brazil,2020-02-10,0,0,0,0
Brazil,2020-02-11,0,0,0,0
Brazil,2020-02-12,0,0,0,0
Brazil,2020-02-13,0,0,0,0
Brazil,2020-02-14,0,0,0,0
Brazil,2020-02-15,0,0,0,0
Brazil,2020-02-16,0,0,0,0
Brazil,2020-02-17,0,0,0,0
Brazil,2020-02-18,0,0,0,0
Brazil,2020-02-19,0,0,0,0
Brazil,2020-02-20,0,0,0,0
Brazil,2020-02-21,0,0,0,0
Brazil,2020-02-22,0,0,0,0
Brazil,2020-02-23,0,0,0,0
Brazil,2020-02-24,0,0,0,0
Brazil,2020-02-25,0,0,0,0
Brazil,2020-02-26,1,1,0,0
Brazil,2020-02-27,1,1,0,0
Brazil,2020-02-28,1,1,0,0
Brazil,2020-02-29,2,2,0,0
Brazil,2020-03-01,2,2,0,0
Brazil,2020-03-02,2,2,0,0
Brazil,2020-03-03,2,2,0,0
Brazil,2020-03-04,4,4,0,0
Brazil,2020-03-05,4,4,0,0
Brazil,2020-03-06,13,13,0,0
Brazil,2020-03-07,13,13,0,0
Brazil,2020-03-08,20,20,0,0
Brazil,2020-03-09,25,25,0,0
Brazil,2020-03-10,31,31,0,0
Brazil,2020-03-11,38,38,0,0
Brazil,2020-03-12,52,52,0,0
Brazil,2020-03-13,151,151,0,0
Brazil,2020-03-14,151,151,0,0
Brazil,2020-03-15,162,162,0,0
Brazil,2020-03-16,199,200,1,0
Brazil,2020-03-17,318,321,2,1
Brazil,2020-03-18,367,372,2,3
Brazil,2020-03-19,613,621,2,6
Brazil,2020-03-20,780,793,2,11
Brazil,2020-03-21,1004,1021,2,15
Brazil,2020-03-22,1519,1546,2,25
Brazil,2020-03-23,1888,1924,2,34
Brazil,2020-03-24,2199,2247,2,46
Brazil,2020-03-25,2493,2554,2,59
Brazil,2020-03-26,2902,2985,6,77
Brazil,2020-03-27,3319,3417,6,92
Brazil,2020-03-28,3787,3904,6,111
Brazil,2020-03-29,4114,4256,6,136
Brazil,2020-03-30,4300,4579,120,159
Brazil,2020-03-31,5389,5717,127,201
Brazil,2020-04-01,6469,6836,127,240
Brazil,2020-04-02,7593,8044,127,324
Brazil,2020-04-03,8570,9056,127,359
Brazil,2020-04-04,9788,10360,127,445
Brazil,2020-04-05,10517,11130,127,486
Brazil,2020-04-06,11470,12161,127,564
Brazil,2020-04-07,13221,14034,127,686
Brazil,2020-04-08,15224,16170,127,819
Brazil,2020-04-09,16969,18092,173,950
Brazil,2020-04-10,18408,19638,173,1057
Brazil,2020-04-11,19430,20727,173,1124
Brazil,2020-04-12,20796,22192,173,1223
Brazil,2020-04-13,21929,23430,173,1328
Brazil,2020-04-14,20684,25262,3046,1532
Brazil,2020-04-15,12558,28320,14026,1736
Brazil,2020-04-16,14475,30425,14026,1924
Brazil,2020-04-17,17515,33682,14026,2141
Brazil,2020-04-18,20278,36658,14026,2354
Brazil,2020-04-19,14062,38654,22130,2462
Brazil,2020-04-20,16026,40743,22130,2587
Brazil,2020-04-21,17347,43079,22991,2741
Brazil,2020-04-22,17533,45757,25318,2906
Brazil,2020-04-23,20132,50036,26573,3331
Brazil,2020-04-24,22684,54043,27655,3704
Brazil,2020-04-25,26107,59324,29160,4057
Brazil,2020-04-26,28662,63100,30152,4286
Brazil,2020-04-27,31701,67446,31142,4603
Brazil,2020-04-28,35608,73235,32544,5083
Brazil,2020-04-29,40040,79685,34132,5513
Brazil,2020-04-30,45246,87187,35935,6006
Brazil,2020-05-01,47751,92202,38039,6412
Brazil,2020-05-02,49402,97100,40937,6761
Brazil,2020-05-03,51784,101826,42991,7051
Brazil,2020-05-04,55438,108620,45815,7367
Brazil,2020-05-05,59296,115455,48221,7938
Brazil,2020-05-06,66653,126611,51370,8588
Brazil,2020-05-07,71233,135773,55350,9190
Brazil,2020-05-08,77580,146894,59297,10017
Brazil,2020-05-09,83720,156061,61685,10656
Brazil,2020-05-10,86619,162699,64957,11123
Brazil,2020-05-11,90557,169594,67384,11653
Brazil,2020-05-12,93156,178214,72597,12461
Brazil,2020-05-13,98473,190137,78424,13240
Brazil,2020-05-14,109687,203165,79479,13999
Brazil,2020-05-15,120359,220291,84970,14962
Brazil,2020-05-16,128177,233511,89672,15662
Brazil,2020-05-17,130840,241080,94122,16118
Brazil,2020-05-18,138056,255368,100459,16853
Brazil,2020-05-19,147108,271885,106794,17983
Brazil,2020-05-20,156037,291579,116683,18859
Brazil,2020-05-21,164080,310087,125960,20047
Brazil,2020-05-22,174412,330890,135430,21048
Brazil,2020-05-23,182798,347398,142587,22013
Brazil,2020-05-24,190634,363211,149911,22666
Brazil,2020-05-25,197592,374898,153833,23473
Brazil,2020-05-26,208117,391222,158593,24512
Brazil,2020-05-27,219576,411821,166647,25598
Brazil,2020-05-28,233880,438238,177604,26754
Brazil,2020-05-29,247812,465166,189476,27878
Brazil,2020-05-30,268714,498440,200892,28834
Brazil,2020-05-31,278980,514849,206555,29314
Brazil,2020-06-01,285430,526447,211080,29937
Brazil,2020-06-02,300546,555383,223638,31199
Brazil,2020-06-03,312851,584016,238617,32548
Brazil,2020-06-04,325957,614941,254963,34021
Brazil,2020-06-05,343805,645771,266940,35026
Brazil,2020-06-06,359767,672846,277149,35930
Brazil,2020-06-07,371351,691758,283952,36455
Brazil,2020-06-08,292021,707412,378257,37134
Brazil,2020-06-09,304360,739503,396737,38406
Brazil,2020-06-10,318820,772416,413916,39680
Brazil,2020-06-11,331944,802828,429965,40919
Brazil,2020-06-12,341859,828810,445123,41828
Brazil,2020-06-13,348358,850514,459436,42720
Brazil,2020-06-14,355151,867624,469141,43332
Brazil,2020-06-15,366603,888271,477709,43959
Brazil,2020-06-16,387943,923189,490005,45241
Brazil,2020-06-17,387821,955377,521046,46510
Brazil,2020-06-18,395814,978142,534580,47748
Brazil,2020-06-19,432328,1032913,551631,48954
Brazil,2020-06-20,440824,1067579,576779,49976
Brazil,2020-06-21,444632,1083341,588118,50591
Brazil,2020-06-22,453463,1106470,601736,51271
Brazil,2020-06-23,465298,1145906,627963,52645
Brazil,2020-06-24,474332,1188631,660469,53830
Brazil,2020-06-25,493619,1228114,679524,54971
Brazil,2020-06-26,516614,1274974,702399,55961
Brazil,2020-06-27,528882,1313667,727715,57070
Brazil,2020-06-28,540503,1344143,746018,57622
Brazil,2020-06-29,552070,1368195,757811,58314
Brazil,2020-06-30,554129,1402041,788318,59594
Brazil,2020-07-01,570479,1448753,817642,60632
Brazil,2020-07-02,477282,1496858,957692,61884
Brazil,2020-07-03,492582,1539081,984615,61884
Brazil,2020-07-04,522008,1577004,990731,64265
Brazil,2020-07-05,509143,1603055,1029045,64867
Brazil,2020-07-06,495255,1623284,1062542,65487
China,2020-01-22,503,548,28,17
China,2020-01-23,595,643,30,18
China,2020-01-24,858,920,36,26
China,2020-01-25,1325,1406,39,42
China,2020-01-26,1970,2075,49,56
China,2020-01-27,2737,2877,58,82
China,2020-01-28,5277,5509,101,131
China,2020-01-29,5834,6087,120,133
China,2020-01-30,7835,8141,135,171
China,2020-01-31,9375,9802,214,213
China,2020-02-01,11357,11891,275,259
China,2020-02-02,15806,16630,463,361
China,2020-02-03,18677,19716,614,425
China,2020-02-04,22373,23707,843,491
China,2020-02-05,25762,27440,1115,563
China,2020-02-06,28477,30587,1477,633
China,2020-02-07,31393,34110,1999,718
China,2020-02-08,33413,36814,2596,805
China,2020-02-09,35705,39829,3219,905
China,2020-02-10,37424,42354,3918,1012
China,2020-02-11,38638,44386,4636,1112
China,2020-02-12,38560,44759,5082,1117
China,2020-02-13,52309,59895,6217,1369
China,2020-02-14,56860,66358,7977,1521
China,2020-02-15,57452,68413,9298,1663
China,2020-02-16,57992,70513,10755,1766
China,2020-02-17,58108,72434,12462,1864
China,2020-02-18,58002,74211,14206,2003
China,2020-02-19,56541,74619,15962,2116
China,2020-02-20,54825,75077,18014,2238
China,2020-02-21,54608,75550,18704,2238
China,2020-02-22,51859,77001,22699,2443
China,2020-02-23,51390,77022,23187,2445
China,2020-02-24,49631,77241,25015,2595
China,2020-02-25,47413,77754,27676,2665
China,2020-02-26,45365,78166,30084,2717
China,2020-02-27,42924,78600,32930,2746
China,2020-02-28,39809,78928,36329,2790
China,2020-02-29,37199,79356,39320,2837
China,2020-03-01,34898,79932,42162,2872
China,2020-03-02,32368,80136,44854,2914
China,2020-03-03,29864,80261,47450,2947
China,2020-03-04,27402,80386,50001,2983
China,2020-03-05,25230,80537,52292,3015
China,2020-03-06,23702,80690,53944,3044
China,2020-03-07,22159,80770,55539,3072
China,2020-03-08,20335,80823,57388,3100
China,2020-03-09,18933,80860,58804,3123
China,2020-03-10,17567,80887,60181,3139
China,2020-03-11,16116,80921,61644,3161
China,2020-03-12,14859,80932,62901,3172
